what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"2",1389259625961
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1389259625961
java.runtime.version,sysinfo,,,"1.7.0_45-b18",1389259625961
java.specification.name,sysinfo,,,"Java Platform API Specification",1389259625961
java.specification.vendor,sysinfo,,,"Oracle Corporation",1389259625961
java.specification.version,sysinfo,,,"1.7",1389259625961
java.vendor,sysinfo,,,"Oracle Corporation",1389259625961
java.version,sysinfo,,,"1.7.0_45",1389259625961
java.vm.info,sysinfo,,,"mixed mode, sharing",1389259625961
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1389259625961
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1389259625961
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1389259625961
java.vm.specification.version,sysinfo,,,"1.7",1389259625961
java.vm.vendor,sysinfo,,,"Oracle Corporation",1389259625961
java.vm.version,sysinfo,,,"24.45-b08",1389259625961
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1389259625976
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389259629007
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389259630461
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389259630507
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1389259630570
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1389259630664
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1389259630664
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1389259630757
stopped,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1389259630757
stopped,bundle,org.eclipse.m2e.refactoring,1.0.0.20110607-2117,"org.eclipse.m2e.refactoring",1389259630757
stopped,bundle,org.eclipse.m2e.editor,1.0.0.20110607-2117,"org.eclipse.m2e.editor",1389259630773
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.0.20110607-2117,"org.eclipse.m2e.editor.xml",1389259630773
stopped,bundle,org.eclipse.m2e.jdt,1.0.0.20110607-2117,"org.eclipse.m2e.jdt",1389259630773
stopped,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1389259630773
stopped,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1389259630773
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1389259630773
stopped,bundle,org.eclipse.help.ui,3.5.100.v20110425,"org.eclipse.help.ui",1389259630773
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1389259630773
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui",1389259630773
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1389259630773
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1389259630773
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1389259630773
stopped,bundle,org.eclipse.help.base,3.6.0.v201106131736,"org.eclipse.help.base",1389259630773
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1389259630773
stopped,bundle,org.eclipse.m2e.core.ui,1.0.0.20110607-2117,"org.eclipse.m2e.core.ui",1389259630773
stopped,bundle,org.eclipse.m2e.core,1.0.0.20110607-2117,"org.eclipse.m2e.core",1389259630773
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1389259630773
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1389259630773
stopped,bundle,org.eclipse.ant.launching,1.0.100.v20110506,"org.eclipse.ant.launching",1389259630773
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1389259630773
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1389259630789
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1389259630789
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1389259630789
stopped,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1389259630789
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110305-1450,"org.eclipse.jdt.apt.ui",1389259630789
